category,sentiment,count
flip flops,Negative,1
flip flops,Neutral,2
flip flops,Positive,3
flirtitude,Negative,11
flirtitude,Neutral,5
flirtitude,Positive,3
food storage,Negative,5
food storage,Neutral,2
food storage,Positive,5
footwear,Negative,1
footwear,Positive,1
for baby,Negative,2
for baby,Neutral,1
for baby,Positive,5
for juniors,Negative,7
for juniors,Neutral,3
for juniors,Positive,6
for kids,Negative,2
for kids,Neutral,1
for kids,Positive,5
for men,Negative,31
for men,Neutral,20
for men,Positive,43
for the bride,Negative,4
for the bride,Positive,1
for the home,Negative,9
for the home,Neutral,5
for the home,Positive,7
for women,Negative,39
for women,Neutral,26
for women,Positive,55
formal table setting,Negative,1
foundation,Negative,3
foundation,Neutral,1
foundation,Positive,4
fourth of july,Negative,1
fourth of july,Positive,1
free country,Negative,2
free country,Neutral,2
freezers & ice makers,Negative,4
freezers & ice makers,Neutral,2
freezers & ice makers,Positive,3
french country,Negative,2
french country,Neutral,2
french toast,Negative,10
french toast,Neutral,8
french toast,Positive,19
full figure bras,Negative,36
full figure bras,Neutral,23
full figure bras,Positive,48
full figure minimizer bras,Negative,2
full figure minimizer bras,Neutral,2
full figure minimizer bras,Positive,3
full figure racerback bras,Negative,2
full figure racerback bras,Neutral,1
full figure racerback bras,Positive,2
full figure sports bras,Negative,6
full figure sports bras,Neutral,4
full figure sports bras,Positive,3
full figure strapless & convertible bras,Negative,1
full figure strapless & convertible bras,Neutral,2
full figure strapless & convertible bras,Positive,5
full figure t-shirt bras,Negative,4
full figure t-shirt bras,Positive,4
full figure underwire bras,Negative,14
full figure underwire bras,Neutral,5
full figure underwire bras,Positive,13
full figure wireless bras,Negative,15
full figure wireless bras,Neutral,10
full figure wireless bras,Positive,13
furniture,Negative,5
furniture,Neutral,8
furniture,Positive,4
furniture & decor,Negative,3
furniture & decor,Neutral,3
furniture & decor,Positive,6
furniture sets,Negative,10
furniture sets,Neutral,6
furniture sets,Positive,7
gadgets,Negative,7
gadgets,Neutral,7
gadgets,Positive,18
"gadgets, games & outdoor",Negative,2
"gadgets, games & outdoor",Neutral,5
"gadgets, games & outdoor",Positive,2
games & puzzles,Positive,1
ge,Negative,41
ge,Neutral,15
ge,Positive,25
gemstone jewelry,Negative,4
gemstone jewelry,Positive,6
gemstone rings,Negative,4
gemstone rings,Positive,1
gifts & accessories,Negative,4
gifts & accessories,Neutral,2
gifts & accessories,Positive,4
gifts over $100,Negative,8
gifts over $100,Neutral,2
gifts over $100,Positive,2
gifts under $100,Negative,1
gifts under $15,Negative,11
gifts under $15,Neutral,1
gifts under $15,Positive,9
gifts under $25,Negative,5
gifts under $25,Neutral,1
gifts under $25,Positive,3
gifts under $50,Negative,22
gifts under $50,Neutral,8
gifts under $50,Positive,19
girl's jeans,Negative,2
girl's jeans,Positive,3
girl's pants,Negative,13
girl's pants,Neutral,4
girl's pants,Positive,7
girl's school uniforms,Negative,7
girl's school uniforms,Neutral,1
girl's school uniforms,Positive,7
girl's shorts,Negative,4
girl's shorts,Neutral,2
girl's swimwear,Neutral,1
girls,Negative,1
girls,Neutral,1
girls,Positive,6
girls 2t-5t,Negative,5
girls 2t-5t,Neutral,1
girls 2t-5t,Positive,4
girls 4-6x,Neutral,1
girls 4-6x,Positive,4
girls 7-16,Negative,13
girls 7-16,Neutral,4
girls 7-16,Positive,10
girls athletic shoes,Negative,1
girls athletic shoes,Positive,1
girls casual shoes,Negative,5
girls casual shoes,Neutral,6
girls casual shoes,Positive,13
girls dress shoes,Negative,1
girls dress shoes,Neutral,1
girls dress shoes,Positive,2
girls one piece swimsuits,Positive,1
girls plus,Negative,20
girls plus,Neutral,5
girls plus,Positive,10
girls shoes,Negative,2
girls shoes,Positive,2
girls slim,Negative,4
girls slim,Neutral,1
girls slim,Positive,3
girls view all,Negative,1
girls view all,Neutral,1
girls view all,Positive,2
girls' graphic tees,Negative,1
girls' graphic tees,Neutral,2
girls' graphic tees,Positive,4
glamorise,Negative,8
glamorise,Neutral,2
glamorise,Positive,5
glassware & mugs,Negative,1
glassware & mugs,Positive,1
glassware + mugs,Negative,2
glassware + mugs,Positive,1
gliders & rockers,Negative,6
gliders & rockers,Neutral,1
gliders & rockers,Positive,5
gloria vanderbilt,Negative,8
gloria vanderbilt,Neutral,2
gloria vanderbilt,Positive,6
gold jewelry,Negative,11
gold jewelry,Positive,6
gold toe,Negative,13
gold toe,Neutral,3
gold toe,Positive,4
gold tone jewelry,Positive,1
golf,Negative,2
golf,Neutral,1
golf apparel,Negative,13
golf apparel,Neutral,1
golf apparel,Positive,9
golf jackets,Positive,1
golf shop,Negative,9
golf shop,Neutral,2
golf shop,Positive,2
graduation,Negative,9
graduation,Neutral,2
graduation,Positive,5
graduation dresses,Negative,8
graduation dresses,Neutral,3
graduation dresses,Positive,7
graphic t-shirts,Negative,9
graphic t-shirts,Neutral,5
graphic t-shirts,Positive,8
graphic tees,Negative,17
graphic tees,Neutral,9
graphic tees,Positive,20
grills & griddles,Negative,7
grills & griddles,Neutral,5
grills & griddles,Positive,5
groom accessories,Negative,3
groom accessories,Neutral,2
"groom, groomsmen & fathers",Negative,1
"groom, groomsmen & fathers",Positive,4
guy's coats & jackets,Negative,4
guy's coats & jackets,Neutral,1
guy's coats & jackets,Positive,3
guy's jeans,Negative,6
guy's jeans,Neutral,3
guy's jeans,Positive,10
guy's pants,Negative,12
guy's pants,Neutral,4
guy's pants,Positive,8
guy's school uniforms,Negative,26
guy's school uniforms,Neutral,11
guy's school uniforms,Positive,28
guy's shorts,Negative,6
guy's shorts,Neutral,2
guy's shorts,Positive,12
guy's sleepwear,Negative,8
guy's sleepwear,Neutral,5
guy's sleepwear,Positive,3
guy's swimwear,Positive,2
guys,Negative,6
guys,Neutral,9
guys,Positive,17
guys prom shop,Negative,4
guys prom shop,Neutral,2
guys prom shop,Positive,10
haggar,Negative,25
haggar,Neutral,6
haggar,Positive,18
hair brushes & combs,Negative,7
hair brushes & combs,Neutral,1
hair brushes & combs,Positive,4
hair care,Negative,2
hair care,Positive,1
hair color & root touch up,Negative,2
hair color & root touch up,Neutral,4
hair color & root touch up,Positive,4
hair oil,Negative,7
hair oil,Positive,2
hairspray & styling products,Negative,8
hairspray & styling products,Neutral,5
hairspray & styling products,Positive,8
hamilton beach,Negative,4
hamilton beach,Neutral,2
hamilton beach,Positive,1
handbags,Negative,8
handbags,Neutral,5
handbags,Positive,10
handbags & accessories,Negative,4
handbags & accessories,Positive,9
hanes,Negative,9
hanes,Neutral,3
hanes,Positive,6
hangers,Positive,1
hardside luggage,Positive,1
hardware,Negative,6
hardware,Neutral,3
hardware,Positive,6
"hats, scarves & gloves",Negative,6
"hats, scarves & gloves",Neutral,6
"hats, scarves & gloves",Positive,12
health & wellness,Negative,1
henley shirts,Negative,1
high tech tools,Negative,14
high tech tools,Neutral,10
high tech tools,Positive,16
highlighter,Negative,10
highlighter,Neutral,7
highlighter,Positive,11
hipster,Negative,3
hipster,Positive,2
hobo bags,Negative,5
hobo bags,Neutral,4
hobo bags,Positive,11
holiday decor,Negative,3
holiday decor,Neutral,1
holiday decor,Positive,4
home,Negative,5
home,Positive,5
home decor,Negative,12
home decor,Neutral,6
home decor,Positive,7
home decor & rugs,Negative,10
home decor & rugs,Neutral,9
home decor & rugs,Positive,14
home environment,Negative,2
home environment,Neutral,4
home environment,Positive,2
home expressions,Negative,6
home expressions,Positive,2
home improvement,Negative,1
home office,Negative,3
home office,Neutral,2
home office,Positive,4
homecoming dresses,Neutral,2
hoodies & fleece,Negative,18
hoodies & fleece,Neutral,10
hoodies & fleece,Positive,21
hoodies & sweaters,Negative,12
hoodies & sweaters,Neutral,6
hoodies & sweaters,Positive,10
hoodies & sweatshirts,Negative,17
hoodies & sweatshirts,Neutral,13
hoodies & sweatshirts,Positive,20
hoover,Negative,6
hoover,Neutral,4
hoover,Positive,9
housewarming,Negative,6
housewarming,Neutral,3
housewarming,Positive,8
hypoallergenic earrings,Negative,1
hypoallergenic earrings,Neutral,3
hypoallergenic earrings,Positive,2
i heart ronson,Negative,9
i heart ronson,Neutral,2
i heart ronson,Positive,14
i jeans by buffalo,Negative,9
i jeans by buffalo,Neutral,4
i jeans by buffalo,Positive,2
i said yes,Negative,5
i said yes,Neutral,1
i said yes,Positive,11
ice cream & beverage,Negative,8
ice cream & beverage,Neutral,12
ice cream & beverage,Positive,6
industrial,Negative,1
industrial,Positive,1
infant & toddler,Neutral,1
infant & toddler,Positive,1
infant & toddler shoes,Negative,14
infant & toddler shoes,Neutral,7
infant & toddler shoes,Positive,15
inspirational jewelry,Negative,2
irons & laundry care,Negative,15
irons & laundry care,Neutral,4
irons & laundry care,Positive,16
izod,Negative,42
izod,Neutral,19
izod,Positive,29
jacket dresses,Negative,10
jacket dresses,Neutral,1
jacket dresses,Positive,5
jackets & blazers,Negative,8
jackets & blazers,Neutral,8
jackets & blazers,Positive,4
jackets & hoodies,Negative,15
jackets & hoodies,Neutral,4
jackets & hoodies,Positive,16
jamaica bay,Negative,4
jamaica bay,Positive,4
january's birthstone,Negative,1
jcpenney,Negative,5
jcpenney,Neutral,2
jcpenney,Positive,4
jcpenney black friday sale,Negative,31
jcpenney black friday sale,Neutral,9
jcpenney black friday sale,Positive,31
jcpenney home,Negative,47
jcpenney home,Neutral,16
jcpenney home,Positive,55
jean jackets,Negative,3
jean jackets,Neutral,2
jean jackets,Positive,4
jeans,Negative,252
jeans,Neutral,129
jeans,Positive,221
jeans & pants,Negative,11
jeans & pants,Neutral,4
jeans & pants,Positive,13
jegging,Negative,7
jegging,Neutral,2
jegging,Positive,7
jewelry,Negative,1
jewelry,Neutral,2
jewelry,Positive,1
jewelry & watches,Negative,5
jewelry & watches,Neutral,6
jewelry & watches,Positive,7
jewelry boxes & armoires,Negative,6
jewelry boxes & armoires,Positive,3
jewelry sets,Negative,2
jewelry sets,Neutral,2
jewelry sets,Positive,4
jf j.ferrar,Negative,6
jf j.ferrar,Neutral,1
jf j.ferrar,Positive,6
jockey,Negative,4
jockey,Neutral,5
jockey,Positive,4
jogger pants,Negative,4
jogger pants,Neutral,1
jogger pants,Positive,4
july's birthstone,Negative,1
july's birthstone,Positive,1
jumpsuits & rompers,Negative,2
jumpsuits & rompers,Positive,2
june's birthstone,Negative,1
june's birthstone,Positive,2
june's birthstone: pearl,Negative,1
june's birthstone: pearl,Neutral,3
june's birthstone: pearl,Positive,4
junior's graphic tees,Neutral,1
junior's graphic tees,Positive,3
juniors,Negative,9
juniors,Neutral,10
juniors,Positive,20
juniors jewelry,Neutral,1
juniors lingerie,Negative,6
juniors lingerie,Neutral,5
juniors lingerie,Positive,5
juniors plus,Neutral,1
juniors plus,Positive,5
juniors' jeans,Negative,14
juniors' jeans,Neutral,7
juniors' jeans,Positive,16
juniors' school uniforms,Negative,13
juniors' school uniforms,Neutral,2
juniors' school uniforms,Positive,5
juniors' shorts,Negative,1
juniors' sweaters,Negative,2
juniors' sweaters,Neutral,2
juniors' sweaters,Positive,2
juniors' swimwear,Negative,2
juniors' swimwear,Positive,4
keracare,Positive,1
kid,Neutral,1
kid,Positive,3
kid's apparel,Negative,5
kid's apparel,Neutral,1
kid's apparel,Positive,2
kid's coats & jackets,Negative,1
kid's coats & jackets,Neutral,2
kid's coats & jackets,Positive,1
kid's crafts,Positive,1
kid's shoes,Negative,3
kid's shoes,Neutral,1
kid's shoes,Positive,2
kid's sleepwear,Negative,3
kid's sleepwear,Positive,1
kid's sneakers,Negative,3
kid's sneakers,Neutral,3
kid's sneakers,Positive,3
kids,Negative,6
kids,Neutral,3
kids,Positive,7
kids & teen rooms,Negative,12
kids & teen rooms,Neutral,7
kids & teen rooms,Positive,14
kids & teens,Negative,15
kids & teens,Neutral,10
kids & teens,Positive,18
kids & teens bath,Negative,8
kids & teens bath,Neutral,3
kids & teens bath,Positive,6
kids & teens bedding,Negative,23
kids & teens bedding,Neutral,11
kids & teens bedding,Positive,23
kids & teens furniture,Positive,3
kids & teens room decor,Negative,7
kids & teens room decor,Neutral,3
kids & teens room decor,Positive,5
kids & teens rugs,Negative,4
kids athletic shoes,Negative,3
kids athletic shoes,Positive,1
kids bedding,Negative,1
kids bedding,Positive,1
kids boots,Positive,1
kids casual shoes,Negative,3
kids casual shoes,Neutral,1
kids casual shoes,Positive,4
kids chairs,Positive,1
kids character shoes,Negative,2
kids character shoes,Neutral,1
kids character shoes,Positive,4
kids in the kitchen,Negative,1
kids in the kitchen,Neutral,1
kids sandals,Negative,5
kids sandals,Neutral,1
kids sandals,Positive,1
kids sneakers,Negative,2
kids sneakers,Neutral,2
kids sneakers,Positive,2
kids watches,Negative,1
kids watches,Neutral,1
kids' jewelry,Negative,1
kids' jewelry,Positive,1
kimonos & ponchos,Negative,2
king mattresses,Negative,4
king mattresses,Neutral,3
king mattresses,Positive,7
kitchen & dining,Negative,64
kitchen & dining,Neutral,37
kitchen & dining,Positive,78
kitchen curtains,Negative,12
kitchen curtains,Neutral,6
kitchen curtains,Positive,15
kitchen furniture,Negative,7
kitchen furniture,Neutral,5
kitchen furniture,Positive,8
kitchen gadgets & utensils,Negative,4
kitchen gadgets & utensils,Neutral,1
kitchen gadgets & utensils,Positive,3
kitchen packages,Negative,4
kitchen packages,Neutral,2
kitchen rugs,Negative,7
kitchen rugs,Neutral,2
kitchen rugs,Positive,11
kitchen storage & organization,Negative,3
kitchen storage & organization,Positive,3
kitchenaid,Negative,3
kitchenaid,Neutral,1
kitchenaid,Positive,4
knee & thigh highs,Negative,1
knee & thigh highs,Neutral,2
krups,Negative,2
krups,Positive,3
kubo collection,Negative,1
lace dresses,Negative,7
lace dresses,Neutral,4
lace dresses,Positive,8
large sizes 13 & over,Negative,10
large sizes 13 & over,Neutral,3
large sizes 13 & over,Positive,9
larger sizes,Negative,31
larger sizes,Neutral,26
larger sizes,Positive,27
laundry & cleaning,Negative,10
laundry & cleaning,Neutral,3
laundry & cleaning,Positive,5
laundry care & storage,Neutral,1
leather & faux leather jackets,Negative,2
leather & faux leather jackets,Neutral,2
leather & faux leather jackets,Positive,5
leather bags,Negative,1
leather strap watches,Negative,1
leather strap watches,Neutral,1
leather strap watches,Positive,4
lee,Negative,28
lee,Neutral,13
lee,Positive,36
leggings,Negative,26
leggings,Neutral,14
leggings,Positive,32
levi's,Negative,32
levi's,Neutral,16
levi's,Positive,32
levi's 501 original fit-big tall,Positive,1
levi's 501® original,Positive,1
levi's 501® shrink to fit,Negative,3
levi's 501® shrink to fit,Neutral,1
levi's 501® shrink to fit,Positive,5
levi’s,Negative,10
levi’s,Neutral,11
levi’s,Positive,10
levi’s 511™ slim,Negative,4
levi’s 511™ slim,Neutral,2
levi’s 511™ slim,Positive,2
levi’s 513™ slim straight,Negative,4
levi’s 513™ slim straight,Neutral,1
levi’s 513™ slim straight,Positive,3
levi’s 514™ straight,Negative,7
levi’s 514™ straight,Neutral,4
levi’s 514™ straight,Positive,10
levi’s 560™ comfort,Positive,1
levi’s 569™ loose straight,Negative,3
levi’s 569™ loose straight,Neutral,1
levi’s 569™ loose straight,Positive,4
lg,Negative,33
lg,Neutral,19
lg,Positive,35
lighting & lamps,Negative,11
lighting & lamps,Neutral,6
lighting & lamps,Positive,7
lightweight jackets,Negative,1
linens,Negative,18
linens,Neutral,14
linens,Positive,18
lingerie,Negative,18
lingerie,Neutral,11
lingerie,Positive,26
lingerie sets,Negative,8
lingerie sets,Neutral,6
lingerie sets,Positive,15
lip,Negative,11
lip,Neutral,4
lip,Positive,14
living room,Negative,2
living room,Positive,1
living room sets,Positive,2
liz claiborne,Negative,68
liz claiborne,Neutral,35
liz claiborne,Positive,82
liz claiborne (copy),Negative,3
liz claiborne (copy),Positive,2
loafers,Negative,4
loafers,Neutral,1
loafers,Positive,4
loafers & slip-ons,Negative,2
loafers & slip-ons,Neutral,3
loafers & slip-ons,Positive,5
long underwear & thermals,Negative,2
long underwear & thermals,Positive,1
loungewear,Negative,31
loungewear,Neutral,19
loungewear,Positive,24
luggage & backpacks,Negative,7
luggage & backpacks,Neutral,4
luggage & backpacks,Positive,9
luggage collections,Negative,2
luminaire,Negative,5
luminaire,Neutral,1
luminaire,Positive,2
made for life,Negative,26
made for life,Neutral,14
made for life,Positive,18
madison park,Negative,12
madison park,Neutral,4
madison park,Positive,10
maidenform,Negative,8
maidenform,Neutral,3
maidenform,Positive,5
makeup brush sets,Negative,8
makeup brush sets,Neutral,3
makeup brush sets,Positive,3
makeup palettes,Negative,3
makeup palettes,Neutral,6
makeup palettes,Positive,4
makeup palettes & sets,Negative,14
makeup palettes & sets,Neutral,6
makeup palettes & sets,Positive,7
martha stewart,Negative,8
martha stewart,Neutral,1
martha stewart,Positive,8
marvel shop,Negative,1
marvel shop,Positive,1
mascara,Negative,6
mascara,Neutral,5
mascara,Positive,16
matching jewelry,Negative,5
matching jewelry,Neutral,2
matching jewelry,Positive,4
maternity,Negative,4
maternity,Neutral,1
maternity,Positive,6
mattress pads,Negative,1
mattress pads,Positive,1
mattress pads & toppers,Negative,29
mattress pads & toppers,Neutral,13
mattress pads & toppers,Positive,21
mattresses,Negative,16
mattresses,Neutral,8
mattresses,Positive,20
maxi dresses,Negative,1
maxi dresses,Positive,3
mcklein,Negative,1
mcklein,Positive,1
media,Negative,1
media & storage furniture,Positive,1
media seating,Positive,1
memory foam,Negative,4
memory foam,Neutral,3
memory foam,Positive,9
men,Negative,9
men,Neutral,1
men,Positive,5
men's apparel,Negative,3
men's apparel,Neutral,3
men's apparel,Positive,2
men's coats & jackets,Negative,5
men's coats & jackets,Neutral,5
men's coats & jackets,Positive,5
men's fleece,Negative,12
men's fleece,Neutral,4
men's fleece,Positive,9
men's graphic tees,Negative,4
men's graphic tees,Positive,3
men's jeans,Negative,11
men's jeans,Neutral,10
men's jeans,Positive,12
men's jewelry,Negative,1
men's jewelry,Neutral,1
men's jewelry,Positive,1
men's pants,Negative,21
men's pants,Neutral,13
men's pants,Positive,36
men's shorts,Negative,18
men's shorts,Neutral,4
men's shorts,Positive,20
men's sleepwear,Negative,9
men's sleepwear,Neutral,8
men's sleepwear,Positive,10
men's sneakers,Negative,2
men's sweaters,Negative,3
men's sweaters,Positive,1
men's swimwear,Negative,6
men's swimwear,Neutral,4
men's swimwear,Positive,3
men's watches,Negative,7
men's watches,Neutral,3
men's watches,Positive,3
mens,Negative,10
mens,Neutral,14
mens,Positive,10
mens thermals,Negative,7
mens thermals,Neutral,6
mens thermals,Positive,12
mi zone,Negative,3
mi zone,Neutral,3
mi zone,Positive,7
mickey mouse and friends,Negative,10
mickey mouse and friends,Neutral,2
mickey mouse and friends,Positive,10
mid-calf boots,Negative,5
mid-calf boots,Neutral,3
mid-calf boots,Positive,5
mixit,Negative,2
mixit,Neutral,2
mobile & tablet,Negative,1
modern fit,Negative,9
modern fit,Neutral,3
modern fit,Positive,5
moisture wicking underwear,Negative,6
moisture wicking underwear,Neutral,3
moisture wicking underwear,Positive,7
monogram shop,Negative,1
monogram shop,Neutral,1
mosaica,Negative,3
mosaica,Neutral,2
mosaica,Positive,3
mother of bride/groom,Negative,4
mother of bride/groom,Neutral,1
mother of bride/groom,Positive,3
mother-of-the-bride/groom,Negative,5
mother-of-the-bride/groom,Positive,4
nail base coats & top coats,Negative,4
nail base coats & top coats,Neutral,3
nail base coats & top coats,Positive,9
nail polish,Negative,19
nail polish,Neutral,5
nail polish,Positive,11
nails,Negative,8
nails,Neutral,2
nails,Positive,3
name & initial jewelry,Positive,1
natural comfort & cotton,Negative,8
natural comfort & cotton,Neutral,3
natural comfort & cotton,Positive,5
nautical,Negative,2
nautical,Positive,3
necklaces & pendants,Negative,26
necklaces & pendants,Neutral,13
necklaces & pendants,Positive,18
neckties,Negative,3
neckties,Neutral,4
neckties,Positive,2
new arrivals,Negative,64
new arrivals,Neutral,37
new arrivals,Positive,78
new balance,Negative,17
new balance,Neutral,7
new balance,Positive,19
new year's eve dresses,Negative,5
new year's eve dresses,Neutral,2
new year's eve dresses,Positive,1
nicole by nicole miller,Positive,1
night creams,Negative,13
night creams,Neutral,11
night creams,Positive,15
nike,Negative,27
nike,Neutral,18
nike,Positive,19
nike base layer,Positive,2
nike elite socks,Negative,2
nike elite socks,Neutral,1
nike elite socks,Positive,2
ninja,Negative,3
ninja,Neutral,2
ninja,Positive,3
nordicware,Negative,1
nordicware,Neutral,2
nordicware,Positive,5
nourison,Negative,4
nourison,Neutral,1
nourison,Positive,3
nursing,Negative,3
nursing,Neutral,1
nursing,Positive,4
nursing & feeding,Negative,3
nursing & feeding,Positive,5
nursing bras,Negative,6
nursing bras,Neutral,2
nursing bras,Positive,8
nursing bras & tank tops,Negative,4
nursing bras & tank tops,Positive,5
okie dokie,Negative,7
okie dokie,Neutral,2
okie dokie,Positive,4
oliver collection,Negative,2
oliver collection,Neutral,2
oliver collection,Positive,1
one piece,Neutral,1
one piece,Positive,2
one piece & bodysuits,Negative,1
one piece & bodysuits,Positive,1
one pieces,Negative,11
one pieces,Neutral,5
one pieces,Positive,2
open toe & peep toe,Negative,8
open toe & peep toe,Neutral,6
open toe & peep toe,Positive,6
original fit,Negative,1
original fit,Neutral,3
original fit,Positive,4
oshkosh b'gosh,Negative,2
oshkosh b'gosh,Neutral,2
oshkosh b'gosh,Positive,5
ottomans,Neutral,1
outdoor curtains & shades,Negative,1
outdoor curtains & shades,Neutral,1
outdoor curtains & shades,Positive,2
outdoor grilling,Positive,1
outdoor rugs & door mats,Negative,1
outdoor rugs & door mats,Neutral,1
outdoor rugs & door mats,Positive,1
outdoor rugs & doormats,Negative,3
outdoor rugs & doormats,Positive,3
outfits you'll love,Negative,248
outfits you'll love,Neutral,118
outfits you'll love,Positive,244
oxford shirts,Negative,2
oxford shirts,Positive,3
pajama separates,Negative,9
pajama separates,Neutral,1
pajama separates,Positive,8
pajama sets,Negative,2
pajama sets,Neutral,1
pajamas,Negative,41
pajamas,Neutral,21
pajamas,Positive,26
pajamas & nightgowns,Negative,4
pajamas & nightgowns,Neutral,1
pajamas & nightgowns,Positive,4
pajamas & robes,Negative,46
pajamas & robes,Neutral,27
pajamas & robes,Positive,40
pajamas and robes,Negative,1
pajamas and robes,Neutral,3
pajamas and robes,Positive,2
pajamas and slippers,Neutral,2
pajamas and slippers,Positive,6
panties,Negative,17
panties,Neutral,7
panties,Positive,18
pants,Negative,372
pants,Neutral,179
pants,Positive,412
pants & bottoms,Negative,2
pants & bottoms,Positive,1
pants & capris,Negative,40
pants & capris,Neutral,14
pants & capris,Positive,28
pants & jeans,Negative,15
pants & jeans,Neutral,8
pants & jeans,Positive,18
pants & leggings,Negative,7
pants & leggings,Neutral,3
pants & leggings,Positive,12
pants & skirts,Negative,8
pants & skirts,Neutral,8
pants & skirts,Positive,17
pants and joggers,Negative,4
pants and joggers,Neutral,2
pants and joggers,Positive,2
pantyhose,Negative,2
pantyhose,Neutral,1
pantyhose,Positive,8
patio,Negative,12
patio,Neutral,1
patio,Positive,9
patio & outdoor living,Negative,18
patio & outdoor living,Neutral,7
patio & outdoor living,Positive,23
patio furniture,Neutral,1
patio furniture,Positive,5
pattern,Negative,17
pattern,Neutral,5
pattern,Positive,13
pearl jewelry,Negative,3
peasant,Negative,19
peasant,Neutral,7
peasant,Positive,18
perfume,Negative,5
perfume,Neutral,1
perfume,Positive,3
persian & oriental,Negative,3
persian & oriental,Neutral,4
persian & oriental,Positive,3
personal care,Negative,5
personal care,Neutral,3
personal care,Positive,11
personalized,Positive,1
personalized gifts for him,Negative,4
personalized gifts for him,Neutral,2
personalized wedding bands,Negative,1
pet care,Negative,7
pet care,Neutral,5
pet care,Positive,8
petite,Negative,7
petite,Neutral,4
petite,Positive,8
pfaltzgraff,Negative,5
pfaltzgraff,Neutral,2
pfaltzgraff,Positive,4
pga tour,Negative,1
pga tour,Positive,1
pillow cases & protectors,Negative,8
pillow cases & protectors,Neutral,3
pillow cases & protectors,Positive,7
pillows,Negative,4
pillows,Neutral,4
pillows,Positive,10
pillows & throws,Negative,25
pillows & throws,Neutral,13
pillows & throws,Positive,37
platform,Negative,1
platform,Positive,4
playtex,Negative,3
playtex,Neutral,2
playtex,Positive,3
pleated pants,Negative,6
pleated pants,Neutral,1
pleated pants,Positive,1
plus size,Negative,6
plus size,Neutral,2
plus size,Positive,5
plus size lingerie,Negative,24
plus size lingerie,Neutral,22
plus size lingerie,Positive,21
plus sizes,Negative,3
polos,Negative,36
polos,Neutral,19
polos,Positive,37
possibilities collection,Neutral,1
possibilities collection,Positive,3
pots & pans,Negative,4
pots & pans,Neutral,1
pots & pans,Positive,4
preschool (4-7x),Negative,2
preschool (4-7x),Neutral,1
pretend play,Negative,1
pretend play,Neutral,2
pretend play,Positive,5
prom dresses,Negative,5
prom dresses,Positive,4
promise rings,Positive,3
pumps,Positive,2
pumps & heels,Negative,44
pumps & heels,Neutral,17
pumps & heels,Positive,36
quilts,Negative,35
quilts,Neutral,19
quilts,Positive,30
quilts & bedspreads,Negative,17
quilts & bedspreads,Neutral,6
quilts & bedspreads,Positive,16
racer back bras,Negative,7
racer back bras,Neutral,4
racer back bras,Positive,7
rachael ray,Neutral,1
rachael ray,Positive,1
red kap,Negative,1
red kap,Neutral,2
red kap,Positive,6
reebok,Negative,1
reebok,Positive,3
refrigerators,Negative,14
refrigerators,Neutral,11
refrigerators,Positive,13
reinforced toe & heel socks,Negative,6
reinforced toe & heel socks,Neutral,4
reinforced toe & heel socks,Positive,7
relic,Positive,5
reversible belts,Negative,1
reversible belts,Neutral,1
reversible belts,Positive,1
rice cookers & steamers,Negative,2
riding boots,Negative,15
riding boots,Neutral,7
riding boots,Positive,19
ring bearer,Negative,8
ring bearer,Neutral,5
ring bearer,Positive,11
rings,Negative,19
rings,Neutral,11
rings,Positive,9
roasting pans,Positive,1
robby len,Negative,4
robby len,Positive,4
robes & wraps,Negative,3
robes & wraps,Neutral,4
robes & wraps,Positive,1
roller shades,Negative,6
roller shades,Neutral,2
roller shades,Positive,4
rollerballs & travel size,Negative,7
rollerballs & travel size,Neutral,1
rollerballs & travel size,Positive,8
roman shades,Negative,2
roman shades,Neutral,3
